y_true,y_pred,text
Entertainment,Other,a man and woman is in the studio and are talking
Entertainment,Other,cartoons pumpkins sitting then one starts talking in a classroom
Entertainment,Other,a man cover his face was talking to another person
News,Other,an educational serial beginning that explains about the pendulum waves and its science
News,Other,a informative video about our earth
News,Other,people are discussing smoking
Sports,Other,children play with boogie boards on the beach
Sports,Other,a goup of children are running on a field of grass and wearing protective football gear a group of children are playing football
Sports,Other,cheerleaders perform on a basketball court
How-to,Other,a child making ice cream in a toy ice cream maker
How-to,Other,a fire is being built
How-to,Other,a person is making a toy out of a battery
Review,Other,a woman wearing a white sweater
Review,Other,a first person video in a kitchen
Review,Other,there is a man tasting some food in the kitchen
Music,Other,classical music plays as a narrator describes scenic views
Music,Other,an african woman walks along some cars and sings a song
Music,Other,a video about someone singing
KIS,Other,a preview of the video game mass effect 4 the speaker speculates that more information will be released in the near future
KIS,Other,scenes from various disney movies and their years of release are shown set to a song from one of them
KIS,Other,cartoon of a single horned animal
Entertainment,KIS,a small girl looking at a trailer in slow motion
Entertainment,Sports,a group of comedians performing on a tv live show
How-to,KIS,a trailer for dear white people
How-to,Review,food review of breakfast meal
How-to,Sports,a man is showing a software that is best to use for live streaming
KIS,Sports,live show of some important incident
Music,Sports,a band is giving a live performance
Sports,Entertainment,a basket ball play within the team and the boy explains very funny comment of the basket ball
Sports,News,a news person speaks about a incident happend in chicago
